Composition,denstiy,Temperature
Ca10Rb11Ba17Sr2Zn6Li1Cs6Cl88,2.36064801628371,1250
Li7Cs9Ba1Rb12Ca12Mg6Zn7Cl80,1.93578612147852,1350
Ca9Ba10Sr3Cs3Zn5Na12Rb12Cl81,2.2776796028971,1100
Ba6Ca10Sr1Zn11Rb7Na10Li9Cl82,2.13442135454545,1100
Cs10Zr2Li12Mg6Na5K10Rb9Cl66,1.64896003086913,1500
Ca17K5Cs1Zn5Sr6Rb15Ba5Cl87,2.02664764785214,1350
Li4Sr1Na8Zr12Rb9K10Ca9Cl99,1.73064109530469,1300
Mg9Zn3Ba10K8Ca3Cs10Na11Cl79,2.04755322537462,1250
Na6Li12K7Ca3Zn5Cs10Mg11Cl73,1.72597771598401,1350
Zr9Ca1Mg14Rb3Na15Ba5K5Cl99,1.72528695604395,1400
Zn4Li12Ba3Cs16Rb1K9Ca9Cl70,1.94918194795204,1350
Na9Zr10Rb10Mg9Cs3Ca9K4Cl102,1.95548269920079,1000
Li8Mg5Cs20Ba1Rb11Zn7Na1Cl66,2.03225526173826,1350
Zr4Ca3Sr7Na2Zn16Rb12K11Cl93,2.06637288141858,1050
Sr22Zn3Mg2Cs1Rb8Zr12K5Cl116,1.99661236403596,1300
Mg5Zn3Li12Rb3K9Ca13Sr7Cl80,1.69700958111888,1500
Li5Ba12Rb1Zr15Zn7Sr2Ca13Cl134,2.19943641238761,1000
Ba4K9Li1Zn1Cs13Na8Rb8Sr9Cl67,2.19301699010989,1100
Cs3Li4K7Zn10Zr3Ba6Rb8Mg13Cl92,2.09235398711288,1000
K5Zn9Rb4Mg3Zr10Ba7Li12Sr5Cl109,1.89461051658341,1350
Ca9K9Zn10Na3Sr5Cs6Rb2Li8Cl76,1.78925035744255,1500
Mg9Na10Zr7Li5Rb7Zn7Ba6K4Cl98,1.96844415664335,1150
Ba9Cs5K3Rb10Na9Li1Ca10Zr6Cl90,2.00902996783216,1400
Rb2Cs11Li13Na6Zr7Mg7Ca3Ba3Cl86,2.05803547672327,1100
K11Cs5Li6Ca11Mg3Sr2Zr9Ba7Cl104,1.92003235564435,1300
Li5Cs7Rb5Ba11Zr5Sr3Zn9Mg7Cl97,2.06175471798201,1450
Sr5Mg2Na12Ca4Zr1Cs6Ba10K13Cl77,1.9207395014985,1500
Cs8Mg9Ba3Zn1Sr12Zr2Li7Ca11Cl95,2.0081323036963,1450
Rb12Cs1Mg2Na4Ca6Sr10Zn10Li9Cl82,2.08111064505494,1200
Li5Sr7Zr4Na5Ca7Rb8Ba10Cs7Cl89,2.39692968601398,1000
Rb11Zn7Ba1Sr2Cs9Li8Zr10Na6Cl94,1.78561423196803,1500
Zn7Cs6Sr8Li10Zr7Ca10Mg5Ba1Cl106,2.1267254005994,1050
Cs7Ca2Ba10Sr9Mg3K5Na11Li6Cl77,2.28671755204795,1050
Ba10Sr1Na8Ca6Mg14Zr2K10Rb2Cl90,1.91908757322677,1300
Sr3Cs8Li11Rb4Mg9Zr2K9Na8Cl72,1.91821211198801,1000
K5Na3Mg1Zn6Cs11Sr15Zr8Rb3Cl98,2.15187494765234,1200
Cs12Mg2Rb5Na5Ca12Zr8Li10K1Cl93,1.8620215098901,1350
Mg3Na4Ba13Ca4Rb2Sr10Zn1K11Cs6Cl85,2.2119082002997,1250
Cs2K3Na7Zn11Mg2Zr7Ba6Li7Ca9Cl103,1.84902863676323,1400
Ca11Cs8K7Na5Zn1Zr5Sr8Li8Ba2Cl92,1.87924814725274,1450
Cs7Mg7Ca2Zr5Rb10K4Li5Ba5Na10Cl84,2.03102669190809,1150
K10Cs3Rb2Ca9Li4Ba6Zr4Na9Zn7Cl88,1.97833625614385,1200
Li4Ca9Na5Sr6Mg5K9Rb7Zn7Zr4Cl95,1.74399724015984,1450
Na7Mg9Zr2Ca5Li8Cs7Sr8K8Zn1Cl84,1.80273652417582,1400
Ba13Na1Cs14K9Zr1Mg1Ca5Sr7Li4Cl84,2.3418413014985,1100
K3Zr7Cs4Na2Ca15Li2Mg7Zn14Sr1Cl113,1.70682659350649,1450
Cs7Zn9Zr5Ca4K6Li8Mg6Rb3Na6Cl88,1.72863828611388,1400
Ca8Zr10Zn1Mg9Ba6K7Cs2Sr6Na5Cl114,2.00266403336663,1150
Na14Zr6Sr4Ba6Zn2Ca11K5Rb3Li4Cl96,1.84443409400599,1500
Ca7Sr4Li9Na6Cs3Ba8Zn5Rb6K6Cl78,2.02210342987012,1350
Mg1Cs4Li4Na8Rb7Sr6Zn9Ba6Zr9Cl103,2.18222951498501,1150
Ca3Zn8Na1Mg7Ba9Cs8Zr7K5Rb5Cl101,2.08319315214785,1200
Ba3Zn10Mg1Sr7Li6Cs3Zr11Rb6K8Cl109,1.73894209160839,1500
Ba2Cs2Li1Zn7Sr9K6Zr8Na9Rb10Cl96,2.14973998881118,1050
Zr9Ba7K8Na4Mg8Rb1Li10Sr2Ca6Cl105,1.91756137232767,1200
Rb7Sr1Li10Zn1Mg9Na1Ba3Cs13K8Cl67,1.87864987252747,1350
Na6Zn9K4Sr1Mg5Ba8Rb6Cs4Zr11Cl110,2.03104652007992,1200
Na7Rb6Zr4Mg6Ca9Li5K9Cs1Ba1Zn7Cl90,1.78127044045954,1250
Li1Ba6Zn6Rb5Ca3Sr3Cs6K10Mg8Na7Cl81,2.07071068511488,1100
