No,compound,NComp,Comp_L2Norm,Comp_L3Norm,Comp_L5Norm,Comp_L7Norm,Comp_L10Norm,mean_Number,maxdiff_Number,dev_Number,max_Number,min_Number,most_Number,mean_MendeleevNumber,maxdiff_MendeleevNumber,dev_MendeleevNumber,max_MendeleevNumber,min_MendeleevNumber,most_MendeleevNumber,mean_AtomicWeight,maxdiff_AtomicWeight,dev_AtomicWeight,max_AtomicWeight,min_AtomicWeight,most_AtomicWeight,mean_MeltingT,maxdiff_MeltingT,dev_MeltingT,max_MeltingT,min_MeltingT,most_MeltingT,mean_Column,maxdiff_Column,dev_Column,max_Column,min_Column,most_Column,mean_Row,maxdiff_Row,dev_Row,max_Row,min_Row,most_Row,mean_CovalentRadius,maxdiff_CovalentRadius,dev_CovalentRadius,max_CovalentRadius,min_CovalentRadius,most_CovalentRadius,mean_Electronegativity,maxdiff_Electronegativity,dev_Electronegativity,max_Electronegativity,min_Electronegativity,most_Electronegativity,mean_NsValence,maxdiff_NsValence,dev_NsValence,max_NsValence,min_NsValence,most_NsValence,mean_NpValence,maxdiff_NpValence,dev_NpValence,max_NpValence,min_NpValence,most_NpValence,mean_NdValence,maxdiff_NdValence,dev_NdValence,max_NdValence,min_NdValence,most_NdValence,mean_NfValence,maxdiff_NfValence,dev_NfValence,max_NfValence,min_NfValence,most_NfValence,mean_NValance,maxdiff_NValance,dev_NValance,max_NValance,min_NValance,most_NValance,mean_NsUnfilled,maxdiff_NsUnfilled,dev_NsUnfilled,max_NsUnfilled,min_NsUnfilled,most_NsUnfilled,mean_NpUnfilled,maxdiff_NpUnfilled,dev_NpUnfilled,max_NpUnfilled,min_NpUnfilled,most_NpUnfilled,mean_NdUnfilled,maxdiff_NdUnfilled,dev_NdUnfilled,max_NdUnfilled,min_NdUnfilled,most_NdUnfilled,mean_NfUnfilled,maxdiff_NfUnfilled,dev_NfUnfilled,max_NfUnfilled,min_NfUnfilled,most_NfUnfilled,mean_NUnfilled,maxdiff_NUnfilled,dev_NUnfilled,max_NUnfilled,min_NUnfilled,most_NUnfilled,mean_GSvolume_pa,maxdiff_GSvolume_pa,dev_GSvolume_pa,max_GSvolume_pa,min_GSvolume_pa,most_GSvolume_pa,mean_GSbandgap,maxdiff_GSbandgap,dev_GSbandgap,max_GSbandgap,min_GSbandgap,most_GSbandgap,mean_GSmagmom,maxdiff_GSmagmom,dev_GSmagmom,max_GSmagmom,min_GSmagmom,most_GSmagmom,Space Group No.,frac_sValence,frac_pValence,frac_dValence,frac_fValence,CanFormIonic,MaxIonicChar,MeanIonicChar,Tc_real,MagnetizationDensity
297,Nd2Fe17N3,3,0.789915782,0.774557891,0.772757203,0.772727896,0.772727275,26.5,53,6.090909091,60,7,26,55.40909091,63,7.252066116,82,19,55,58.17586818,130.2353,15.6483876,144.242,14.0067,55.845,1525.643182,1747.95,441.0059917,1811,63.05,1811,8.5,12,1.772727273,15,3,8,3.909090909,4,0.520661157,6,2,4,129.9545455,130,16.0785124,201,71,132,1.932272727,1.9,0.302107438,3.04,1.14,1.83,2,0,0,2,2,2,0.409090909,3,0.70661157,3,0,0,4.636363636,6,2.107438017,6,0,6,0.363636364,4,0.661157025,4,0,0,7.409090909,3,0.91322314,8,5,8,0,0,0,0,0,0,0.409090909,3,0.70661157,3,0,0,3.090909091,4,1.404958678,4,0,4,0.909090909,10,1.652892562,10,0,0,4.409090909,7,1.016528926,10,3,4,13.46982955,24.08,4.234282025,34.81,10.73,10.73,0.877772727,6.437,1.516152893,6.437,0,0,1.630966709,2.1106628,0.741348504,2.1106628,0,2.1106628,166,0.26993865,0.055214724,0.625766871,0.049079755,0,0.594445495,0.095100015,743,141.5767419
299,Nd3Cr4.5Fe24.5,3,0.784057456,0.767669463,0.765661221,0.765625816,0.765625003,28.90625,36,5.830078125,60,24,26,50.78125,36,6.459960938,55,19,55,63.59096719,92.2459,15.12206865,144.242,51.9961,55.845,1814.421875,886,102.8188477,2180,1294,1811,7.25,5,1.1484375,8,3,8,4.1875,2,0.33984375,6,4,4,139.453125,69,11.54003906,201,132,132,1.74140625,0.69,0.13565918,1.83,1.14,1.83,1.859375,1,0.241699219,2,1,2,0,0,0,0,0,0,5.296875,6,1.076660156,6,0,6,0.375,4,0.6796875,4,0,0,7.53125,2,0.717773438,8,6,8,0.140625,1,0.241699219,1,0,0,0,0,0,0,0,0,3.765625,5,0.706054688,5,0,4,0.9375,10,1.69921875,10,0,0,4.84375,6,1.291992188,10,4,4,13.0521875,24.08,4.079589844,34.81,10.73,10.73,0,0,0,0,0,0,1.615976206,2.1106628,0.757488847,2.1106628,0,2.1106628,12,0.246887967,0,0.703319502,0.049792531,0,0.112214394,0.01938258,436,58.25510765
300,Ni0.5Pt0.5,2,0.707106781,0.629960525,0.574349177,0.552044757,0.535886731,53,50,25,78,28,53,62,2,1,63,61,62,126.8887,136.3906,68.1953,195.084,58.6934,126.8887,1884.7,313.4,156.7,2041.4,1728,1884.7,10,0,0,10,10,10,5,2,1,6,4,5,130,12,6,136,124,130,2.095,0.37,0.185,2.28,1.91,2.095,1.5,1,0.5,2,1,1.5,0,0,0,0,0,0,8.5,1,0.5,9,8,8.5,7,14,7,14,0,7,17,14,7,24,10,17,0.5,1,0.5,1,0,0.5,0,0,0,0,0,0,1.5,1,0.5,2,1,1.5,0,0,0,0,0,0,2,0,0,2,2,2,12.67,4.7,2.35,15.02,10.32,12.67,0,0,0,0,0,0,0.29769735,0.5953947,0.29769735,0.5953947,0,0.29769735,225,0.088235294,0,0.5,0.411764706,0,0.033645949,0.016822975,370,-0.225744777
304,Sm1V2Fe10,3,0.788226982,0.771531573,0.769281532,0.769232187,0.769230777,28.30769231,39,5.183431953,62,23,26,51.15384615,32,5.917159763,55,23,55,62.361,99.4185,13.53830769,150.36,50.9415,55.845,1832.384615,838,107.8816568,2183,1345,1811,7.153846154,5,1.301775148,8,3,8,4.153846154,2,0.284023669,6,4,4,140.3076923,66,12.78106509,198,132,132,1.748461538,0.66,0.125443787,1.83,1.17,1.83,2,0,0,2,2,2,0,0,0,0,0,0,5.076923077,6,1.420118343,6,0,6,0.461538462,6,0.852071006,6,0,0,7.538461538,3,0.781065089,8,5,8,0,0,0,0,0,0,0,0,0,0,0,0,4.153846154,7,0.875739645,7,0,4,0.615384615,8,1.136094675,8,0,0,4.769230769,4,1.183431953,8,4,4,12.81153846,22.5,3.202366864,33.23,10.73,10.73,0,0,0,0,0,0,1.623586769,2.1106628,0.74934774,2.1106628,0,2.1106628,139,0.265306122,0,0.673469388,0.06122449,0,0.103179905,0.015785239,603,60.32202784
317,Tb0.25Ho0.75Fe1.95,3,0.713275438,0.673769987,0.662130465,0.661134511,0.661021632,39.72881356,41,18.14995691,67,26,26,47.20338983,26,10.30738294,55,29,55,92.31417881,109.08532,48.21349063,164.93032,55.845,55.845,1779.305085,182,41.90175237,1811,1629,1811,6.305084746,5,2.240735421,8,3,8,4.677966102,2,0.896294168,6,4,4,152.5084746,62,27.11289859,194,132,132,1.624915254,0.62,0.271128986,1.83,1.21,1.83,2,0,2.22E-16,2,2,2,0,0,0,0,0,0,3.966101695,6,2.688882505,6,0,6,3.559322034,11,4.705544384,11,0,0,9.525423729,5,2.016661879,13,8,8,0,0,0,0,0,0,0,0,0,0,0,0,2.644067797,4,1.792588337,4,0,4,1.186440678,5,1.568514795,5,0,0,3.830508475,2,0.422292445,5,3,4,17.59581921,21.00666667,9.076845734,31.73666667,10.73,10.73,0,0,0,0,0,0,1.395183885,2.1106628,0.945887379,2.1106628,0,2.1106628,227,0.209964413,0,0.416370107,0.37366548,0,0.091626826,0.039198499,630,72.08369879
318,Tb2Fe14B1,3,0.833967463,0.824428789,0.823539518,0.823529556,0.823529412,29.35294118,60,8.387543253,65,5,26,52.94117647,43,5.633217993,72,29,55,65.32304118,148.11435,22.02407266,158.92535,10.811,55.845,1821.176471,719,61.97923875,2348,1629,1811,7.705882353,10,1.107266436,13,3,8,4.117647059,4,0.442906574,6,2,4,136.4705882,110,13.53633218,194,84,132,1.769411765,0.83,0.131626298,2.04,1.21,1.83,2,0,0,2,2,2,0.058823529,1,0.110726644,1,0,0,4.941176471,6,1.743944637,6,0,6,1.058823529,9,1.868512111,9,0,0,8.058823529,8,0.692041522,11,3,8,0,0,0,0,0,0,0.294117647,5,0.553633218,5,0,0,3.294117647,4,1.162629758,4,0,4,0.588235294,5,1.038062284,5,0,0,4.176470588,1,0.290657439,5,4,4,12.99210784,24.56416667,4.410484429,31.73666667,7.1725,10.73,0.089647059,1.524,0.168747405,1.524,0,0,1.738192894,2.1106628,0.613479845,2.1106628,0,2.1106628,136,0.248175182,0.00729927,0.613138686,0.131386861,0,0.158210251,0.02100674,618,70.42091385
320,Th2Fe14B1,3,0.833967463,0.824428789,0.823539518,0.823529556,0.823529412,32.29411765,85,13.57785467,90,5,26,51.41176471,56,8.332179931,72,16,55,73.92453647,221.22706,37.20318201,232.03806,10.811,55.845,1867.529412,537,93.10726644,2348,1811,1811,7.705882353,10,1.107266436,13,3,8,4.235294118,5,0.650519031,7,2,4,137.8823529,122,16.02768166,206,84,132,1.78,0.74,0.112941176,2.04,1.3,1.83,2,0,0,2,2,2,0.058823529,1,0.110726644,1,0,0,5.176470588,6,1.356401384,6,0,6,0,0,0,0,0,0,7.235294118,5,1.259515571,8,3,8,0,0,0,0,0,0,0.294117647,5,0.553633218,5,0,0,4.235294118,8,0.885813149,8,0,4,0,0,0,0,0,0,4.529411765,4,0.871972318,8,4,4,13.06661765,25.1975,4.541972318,32.37,7.1725,10.73,0.089647059,1.524,0.168747405,1.524,0,0,1.738192894,2.1106628,0.613479845,2.1106628,0,2.1106628,136,0.276422764,0.008130081,0.715447154,0,0,0.127942572,0.015973937,487,48.85937425
322,Tm1Mo2Fe10,3,0.788226982,0.771531573,0.769281532,0.769232187,0.769230777,31.76923077,43,8.875739645,69,26,26,52.84615385,18,3.313609467,55,37,55,70.71570846,113.08921,22.87801302,168.93421,55.845,55.845,1978.461538,1085,282.3195266,2896,1811,1811,7.307692308,5,1.065088757,8,3,8,4.307692308,2,0.473372781,6,4,4,139.8461538,58,12.07100592,190,132,132,1.836153846,0.91,0.09964497,2.16,1.25,1.83,1.846153846,1,0.26035503,2,1,2,0,0,0,0,0,0,5.384615385,6,0.946745562,6,0,6,1,13,1.846153846,13,0,0,8.230769231,9,1.041420118,15,6,8,0.153846154,1,0.26035503,1,0,0,0,0,0,0,0,0,3.846153846,5,0.591715976,5,0,4,0.076923077,1,0.142011834,1,0,0,4.076923077,5,0.591715976,6,1,4,12.95846154,19.05,3.428402367,29.78,10.73,10.73,0,0,0,0,0,0,1.623586769,2.1106628,0.74934774,2.1106628,0,2.1106628,139,0.224299065,0,0.654205607,0.121495327,0,0.187000675,0.020328556,261,65.36797348
324,Y1Co3,2,0.790569415,0.759147243,0.75061627,0.750048981,0.75000127,30,12,4.5,39,27,27,46.5,46,17.25,58,12,58,66.42635875,29.972655,11.23974562,88.90585,58.933195,58.933195,1775.75,31,11.625,1799,1768,1768,7.5,6,2.25,9,3,9,4.25,1,0.375,5,4,4,142,64,24,190,126,126,1.715,0.66,0.2475,1.88,1.22,1.88,2,0,0,2,2,2,0,0,0,0,0,0,5.5,6,2.25,7,1,7,0,0,0,0,0,0,7.5,6,2.25,9,3,9,0,0,0,0,0,0,0,0,0,0,0,0,4.5,6,2.25,9,3,3,0,0,0,0,0,0,4.5,6,2.25,9,3,3,15.775,22.12,8.295,32.365,10.245,10.245,0,0,0,0,0,0,1.1613534,1.5484712,0.5806767,1.5484712,0,1.5484712,166,0.266666667,0,0.733333333,0,0,0.103179905,0.038692464,301,-3.042336675
325,Y1Co5,2,0.849836586,0.835549656,0.83338666,0.833334857,0.833333342,29,12,3.333333333,39,27,27,50.33333333,46,12.77777778,58,12,58,63.9286375,29.972655,8.3257375,88.90585,58.933195,58.933195,1773.166667,31,8.611111111,1799,1768,1768,8,6,1.666666667,9,3,9,4.166666667,1,0.277777778,5,4,4,136.6666667,64,17.77777778,190,126,126,1.77,0.66,0.183333333,1.88,1.22,1.88,2,0,0,2,2,2,0,0,0,0,0,0,6,6,1.666666667,7,1,7,0,0,0,0,0,0,8,6,1.666666667,9,3,9,0,0,0,0,0,0,0,0,0,0,0,0,4,6,1.666666667,9,3,3,0,0,0,0,0,0,4,6,1.666666667,9,3,3,13.93166667,22.12,6.144444444,32.365,10.245,10.245,0,0,0,0,0,0,1.290392667,1.5484712,0.430130889,1.5484712,0,1.5484712,191,0.25,0,0.75,0,0,0.103179905,0.028661085,990,87.92002056
