No,compound,NComp,Comp_L2Norm,Comp_L3Norm,Comp_L5Norm,Comp_L7Norm,Comp_L10Norm,mean_Number,maxdiff_Number,dev_Number,max_Number,min_Number,most_Number,mean_MendeleevNumber,maxdiff_MendeleevNumber,dev_MendeleevNumber,max_MendeleevNumber,min_MendeleevNumber,most_MendeleevNumber,mean_AtomicWeight,maxdiff_AtomicWeight,dev_AtomicWeight,max_AtomicWeight,min_AtomicWeight,most_AtomicWeight,mean_MeltingT,maxdiff_MeltingT,dev_MeltingT,max_MeltingT,min_MeltingT,most_MeltingT,mean_Column,maxdiff_Column,dev_Column,max_Column,min_Column,most_Column,mean_Row,maxdiff_Row,dev_Row,max_Row,min_Row,most_Row,mean_CovalentRadius,maxdiff_CovalentRadius,dev_CovalentRadius,max_CovalentRadius,min_CovalentRadius,most_CovalentRadius,mean_Electronegativity,maxdiff_Electronegativity,dev_Electronegativity,max_Electronegativity,min_Electronegativity,most_Electronegativity,mean_NsValence,maxdiff_NsValence,dev_NsValence,max_NsValence,min_NsValence,most_NsValence,mean_NpValence,maxdiff_NpValence,dev_NpValence,max_NpValence,min_NpValence,most_NpValence,mean_NdValence,maxdiff_NdValence,dev_NdValence,max_NdValence,min_NdValence,most_NdValence,mean_NfValence,maxdiff_NfValence,dev_NfValence,max_NfValence,min_NfValence,most_NfValence,mean_NValance,maxdiff_NValance,dev_NValance,max_NValance,min_NValance,most_NValance,mean_NsUnfilled,maxdiff_NsUnfilled,dev_NsUnfilled,max_NsUnfilled,min_NsUnfilled,most_NsUnfilled,mean_NpUnfilled,maxdiff_NpUnfilled,dev_NpUnfilled,max_NpUnfilled,min_NpUnfilled,most_NpUnfilled,mean_NdUnfilled,maxdiff_NdUnfilled,dev_NdUnfilled,max_NdUnfilled,min_NdUnfilled,most_NdUnfilled,mean_NfUnfilled,maxdiff_NfUnfilled,dev_NfUnfilled,max_NfUnfilled,min_NfUnfilled,most_NfUnfilled,mean_NUnfilled,maxdiff_NUnfilled,dev_NUnfilled,max_NUnfilled,min_NUnfilled,most_NUnfilled,mean_GSvolume_pa,maxdiff_GSvolume_pa,dev_GSvolume_pa,max_GSvolume_pa,min_GSvolume_pa,most_GSvolume_pa,mean_GSbandgap,maxdiff_GSbandgap,dev_GSbandgap,max_GSbandgap,min_GSbandgap,most_GSbandgap,mean_GSmagmom,maxdiff_GSmagmom,dev_GSmagmom,max_GSmagmom,min_GSmagmom,most_GSmagmom,Space Group No.,frac_sValence,frac_pValence,frac_dValence,frac_fValence,CanFormIonic,MaxIonicChar,MeanIonicChar,Tc_real,MagnetizationDensity
2,Nd2Fe14B1,3,0.833967463,0.824428789,0.823539518,0.823529556,0.823529412,28.76470588,55,7.349480969,60,5,26,51.76470588,53,7.709342561,72,19,55,63.59558824,133.431,18.9756263,144.242,10.811,55.845,1781.764706,1054,114.7681661,2348,1294,1811,7.705882353,10,1.107266436,13,3,8,4.117647059,4,0.442906574,6,2,4,137.2941176,117,14.98961938,201,84,132,1.761176471,0.9,0.14615917,2.04,1.14,1.83,2,0,0,2,2,2,0.058823529,1,0.110726644,1,0,0,4.941176471,6,1.743944637,6,0,6,0.470588235,4,0.830449827,4,0,0,7.470588235,5,0.871972318,8,3,8,0,0,0,0,0,0,0.294117647,5,0.553633218,5,0,0,3.294117647,4,1.162629758,4,0,4,1.176470588,10,2.076124567,10,0,0,4.764705882,6,1.259515571,10,4,4,13.35367647,27.6375,5.048546713,34.81,7.1725,10.73,0.089647059,1.524,0.168747405,1.524,0,0,1.738192894,2.1106628,0.613479845,2.1106628,0,2.1106628,136,0.267716535,0.007874016,0.661417323,0.062992126,0,0.183313517,0.025343476,593,59.82746541
4,Ni3Al1,2,0.790569415,0.759147243,0.75061627,0.750048981,0.75000127,24.25,15,5.625,28,13,28,64,12,4.5,73,61,61,50.76543465,31.7118614,11.89194803,58.6934,26.9815386,58.6934,1529.3675,794.53,297.94875,1728,933.47,1728,10.75,3,1.125,13,10,10,3.75,1,0.375,4,3,4,123.25,3,1.125,124,121,124,1.835,0.3,0.1125,1.91,1.61,1.91,2,0,0,2,2,2,0.25,1,0.375,1,0,0,6,8,3,8,0,8,0,0,0,0,0,0,8.25,7,2.625,10,3,10,0,0,0,0,0,0,1.25,5,1.875,5,0,0,1.5,2,0.75,2,0,2,0,0,0,0,0,0,2.75,3,1.125,5,2,2,11.86,6.16,2.31,16.48,10.32,10.32,0,0,0,0,0,0,0.446546025,0.5953947,0.223273013,0.5953947,0,0.5953947,221,0.242424242,0.03030303,0.727272727,0,0,0.022248763,0.008343286,87.5,17.5822293
10,Fe0.5Ni0.5,2,0.707106781,0.629960525,0.574349177,0.552044757,0.535886731,27,2,1,28,26,27,58,6,3,61,55,58,57.2692,2.8484,1.4242,58.6934,55.845,57.2692,1769.5,83,41.5,1811,1728,1769.5,9,2,1,10,8,9,4,0,0,4,4,4,128,8,4,132,124,128,1.87,0.08,0.04,1.91,1.83,1.87,2,0,0,2,2,2,0,0,0,0,0,0,7,2,1,8,6,7,0,0,0,0,0,0,9,2,1,10,8,9,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,4,2,3,0,0,0,0,0,0,3,2,1,4,2,3,10.525,0.41,0.205,10.73,10.32,10.525,0,0,0,0,0,0,1.35302875,1.5152681,0.75763405,2.1106628,0.5953947,1.35302875,225,0.222222222,0,0.777777778,0,0,0.001598721,0.000799,900,57.37553869
14,Mn1Ni2Ga1,3,0.612372436,0.538608673,0.506099365,0.501108669,0.500097571,28,6,1.5,31,25,28,62,22,6,74,52,61,60.51196125,14.784955,4.605519375,69.723,54.938045,58.6934,1319.4775,1425.09,508.28375,1728,302.91,1728,10,6,1.5,13,7,10,4,0,0,4,4,4,127.25,17,5.875,139,122,124,1.795,0.36,0.1225,1.91,1.55,1.91,2,0,0,2,2,2,0.25,1,0.375,1,0,0,7.75,5,1.375,10,5,8,0,0,0,0,0,0,10,6,1.5,13,7,10,0,0,0,0,0,0,1.25,5,1.875,5,0,0,2.25,5,1.375,5,0,2,0,0,0,0,0,0,3.5,3,1.5,5,2,2,12.49627155,8.5375,3.180614224,18.8575,10.32,10.32,0,0,0,0,0,0,0.29777488,0.5953947,0.29761982,0.5953947,0,0.5953947,225,0.2,0.025,0.775,0,0,0.031880743,0.010689155,363,83.21615246
16,Nd2Fe13Co1B1,4,0.77816215,0.765864354,0.764719887,0.764706109,0.764705883,28.82352941,55,7.335640138,60,5,26,51.94117647,53,7.750865052,72,19,55,63.77724676,133.431,18.93288311,144.242,10.811,55.845,1779.235294,1054,115.4948097,2348,1294,1811,7.764705882,10,1.121107266,13,3,8,4.117647059,4,0.442906574,6,2,4,136.9411765,117,15.07266436,201,84,132,1.764117647,0.9,0.146851211,2.04,1.14,1.83,2,0,0,2,2,2,0.058823529,1,0.110726644,1,0,0,5,7,1.764705882,7,0,6,0.470588235,4,0.830449827,4,0,0,7.529411765,6,0.892733564,9,3,8,0,0,0,0,0,0,0.294117647,5,0.553633218,5,0,0,3.235294118,4,1.169550173,4,0,4,1.176470588,10,2.076124567,10,0,0,4.705882353,7,1.280276817,10,3,4,13.32514706,27.6375,5.055259516,34.81,7.1725,10.73,0.089647059,1.524,0.168747405,1.524,0,0,1.7051228,2.1106628,0.620237647,2.1106628,0,2.1106628,136,0.265625,0.0078125,0.6640625,0.0625,0,0.183313517,0.025585649,670,50.6486268
20,Gd1Co2,2,0.745355992,0.693361274,0.670782206,0.667408235,0.666731742,39.33333333,37,16.44444444,64,27,27,47.66666667,31,13.77777778,58,27,58,91.70546333,98.316805,43.69635778,157.25,58.933195,58.933195,1707.333333,182,80.88888889,1768,1586,1768,7,6,2.666666667,9,3,9,4.666666667,2,0.888888889,6,4,4,149.3333333,70,31.11111111,196,126,126,1.653333333,0.68,0.302222222,1.88,1.2,1.88,2,0,0,2,2,2,0,0,0,0,0,0,5,6,2.666666667,7,1,7,2.333333333,7,3.111111111,7,0,0,9.333333333,1,0.444444444,10,9,9,0,0,0,0,0,0,0,0,0,0,0,0,5,6,2.666666667,9,3,3,2.333333333,7,3.111111111,7,0,0,7.333333333,13,5.777777778,16,3,3,17.51333333,21.805,9.691111111,32.05,10.245,10.245,0,0,0,0,0,0,1.032314133,1.5484712,0.688209422,1.5484712,0,1.5484712,227,0.214285714,0,0.535714286,0.25,0,0.109168515,0.04851934,402,41.45060289
21,Fe1Pt3,2,0.790569415,0.759147243,0.75061627,0.750048981,0.75000127,65,52,19.5,78,26,78,61,8,3,63,55,63,160.27425,139.239,52.214625,195.084,55.845,195.084,1983.8,230.4,86.4,2041.4,1811,2041.4,9.5,2,0.75,10,8,10,5.5,2,0.75,6,4,6,135,4,1.5,136,132,136,2.1675,0.45,0.16875,2.28,1.83,2.28,1.25,1,0.375,2,1,1,0,0,0,0,0,0,8.25,3,1.125,9,6,9,10.5,14,5.25,14,0,14,20,16,6,24,8,24,0.75,1,0.375,1,0,1,0,0,0,0,0,0,1.75,3,1.125,4,1,1,0,0,0,0,0,0,2.5,2,0.75,4,2,2,13.9475,4.29,1.60875,15.02,10.73,15.02,0,0,0,0,0,0,0.5276657,2.1106628,0.79149855,2.1106628,0,0,221,0.0625,0,0.4125,0.525,0,0.049364908,0.018511841,419,73.81301236
24,Y1Ti1Fe11,3,0.853118193,0.846577453,0.846155948,0.846153859,0.846153846,26.69230769,17,1.893491124,39,22,26,50.76923077,43,7.159763314,55,12,55,57.77445,41.03885,4.789446154,88.90585,47.867,55.845,1820.076923,142,18.6035503,1941,1799,1811,7.307692308,5,1.171597633,8,3,8,4.076923077,1,0.142011834,5,4,4,138.6153846,58,11.19526627,190,132,132,1.760769231,0.61,0.117159763,1.83,1.22,1.83,2,0,0,2,2,2,0,0,0,0,0,0,5.307692308,5,1.171597633,6,1,6,0,0,0,0,0,0,7.307692308,5,1.171597633,8,3,8,0,0,0,0,0,0,0,0,0,0,0,0,4.692307692,5,1.171597633,9,4,4,0,0,0,0,0,0,4.692307692,5,1.171597633,9,4,4,12.85269231,21.635,3.592248521,32.365,10.73,10.73,0,0,0,0,0,0,1.785947179,2.1106628,0.549518742,2.1106628,0,2.1106628,139,0.273684211,0,0.726315789,0,0,0.088829279,0.014571099,525,85.58913463
26,Cu0.5Ni0.5,2,0.707106781,0.629960525,0.574349177,0.552044757,0.535886731,28.5,1,0.5,29,28,28.5,62.5,3,1.5,64,61,62.5,61.1197,4.8526,2.4263,63.546,58.6934,61.1197,1542.885,370.23,185.115,1728,1357.77,1542.885,10.5,1,0.5,11,10,10.5,4,0,0,4,4,4,128,8,4,132,124,128,1.905,0.01,0.005,1.91,1.9,1.905,1.5,1,0.5,2,1,1.5,0,0,0,0,0,0,9,2,1,10,8,9,0,0,0,0,0,0,10.5,1,0.5,11,10,10.5,0.5,1,0.5,1,0,0.5,0,0,0,0,0,0,1,2,1,2,0,1,0,0,0,0,0,0,1.5,1,0.5,2,1,1.5,10.695,0.75,0.375,11.07,10.32,10.695,0,0,0,0,0,0,0.29769735,0.5953947,0.29769735,0.5953947,0,0.29769735,225,0.142857143,0,0.857142857,0,0,2.50E-05,1.25E-05,531,57.53172998
28,Pr2Fe14B1,3,0.833967463,0.824428789,0.823539518,0.823529556,0.823529412,28.64705882,54,7.141868512,59,5,26,51.52941176,55,8.124567474,72,17,55,63.20331176,130.09665,18.2833737,140.90765,10.811,55.845,1771.176471,1144,133.4532872,2348,1204,1811,7.705882353,10,1.107266436,13,3,8,4.117647059,4,0.442906574,6,2,4,137.5294118,119,15.40484429,203,84,132,1.76,0.91,0.148235294,2.04,1.13,1.83,2,0,0,2,2,2,0.058823529,1,0.110726644,1,0,0,4.941176471,6,1.743944637,6,0,6,0.352941176,3,0.62283737,3,0,0,7.352941176,5,1.065743945,8,3,8,0,0,0,0,0,0,0.294117647,5,0.553633218,5,0,0,3.294117647,4,1.162629758,4,0,4,1.294117647,11,2.283737024,11,0,0,4.882352941,7,1.453287197,11,4,4,13.45544118,28.5025,5.228131488,35.675,7.1725,10.73,0.089647059,1.524,0.168747405,1.524,0,0,1.738192894,2.1106628,0.613479845,2.1106628,0,2.1106628,136,0.272,0.008,0.672,0.048,0,0.187000675,0.025991268,551,111.2513919
29,Sm2Fe17N3,3,0.789915782,0.774557891,0.772757203,0.772727896,0.772727275,26.68181818,55,6.421487603,62,7,26,55.77272727,59,7.152892562,82,23,55,58.73205,136.3533,16.65962727,150.36,14.0067,55.845,1530.279545,1747.95,433.8407025,1811,63.05,1811,8.5,12,1.772727273,15,3,8,3.909090909,4,0.520661157,6,2,4,129.6818182,127,16.00413223,198,71,132,1.935,1.87,0.301363636,3.04,1.17,1.83,2,0,0,2,2,2,0.409090909,3,0.70661157,3,0,0,4.636363636,6,2.107438017,6,0,6,0.545454545,6,0.991735537,6,0,0,7.590909091,3,0.70661157,8,5,8,0,0,0,0,0,0,0.409090909,3,0.70661157,3,0,0,3.090909091,4,1.404958678,4,0,4,0.727272727,8,1.32231405,8,0,0,4.227272727,5,0.685950413,8,3,4,13.32619318,22.5,4.012298554,33.23,10.73,10.73,0.877772727,6.437,1.516152893,6.437,0,0,1.630966709,2.1106628,0.741348504,2.1106628,0,2.1106628,166,0.263473054,0.053892216,0.610778443,0.071856287,0,0.582814787,0.093542342,723,76.51260029
30,Sm2Fe17,2,0.900907514,0.895222222,0.894740875,0.894736882,0.894736842,29.78947368,36,6.781163435,62,26,26,51.63157895,32,6.027700831,55,23,55,65.79394737,94.515,17.8033795,150.36,55.845,55.845,1761.947368,466,87.77839335,1811,1345,1811,7.473684211,5,0.941828255,8,3,8,4.210526316,2,0.376731302,6,4,4,138.9473684,66,12.43213296,198,132,132,1.760526316,0.66,0.12432133,1.83,1.17,1.83,2,0,0,2,2,2,0,0,0,0,0,0,5.368421053,6,1.130193906,6,0,6,0.631578947,6,1.130193906,6,0,0,8,0,0,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,3.578947368,4,0.753462604,4,0,4,0.842105263,8,1.506925208,8,0,0,4.421052632,4,0.753462604,8,4,4,13.09842105,22.5,4.238227147,33.23,10.73,10.73,0,0,0,0,0,0,1.888487768,2.1106628,0.397576372,2.1106628,0,2.1106628,166,0.25,0,0.671052632,0.078947368,0,0.103179905,0.01943555,393,121.5658284
32,Co1S2,2,0.745355992,0.693361274,0.670782206,0.667408235,0.666731742,19.66666667,11,4.888888889,27,16,16,78,30,13.33333333,88,58,88,41.021065,26.868195,11.94142,58.933195,32.065,32.065,848.24,1379.64,613.1733333,1768,388.36,388.36,13.66666667,7,3.111111111,16,9,16,3.333333333,1,0.444444444,4,3,3,112,21,9.333333333,126,105,105,2.346666667,0.7,0.311111111,2.58,1.88,2.58,2,0,0,2,2,2,2.666666667,4,1.777777778,4,0,4,2.333333333,7,3.111111111,7,0,0,0,0,0,0,0,0,7,3,1.333333333,9,6,6,0,0,0,0,0,0,1.333333333,2,0.888888889,2,0,2,1,3,1.333333333,3,0,0,0,0,0,0,0,0,2.333333333,1,0.444444444,3,2,2,20.60625,15.541875,6.9075,25.786875,10.245,25.786875,1.468,2.202,0.978666667,2.202,0,2.202,0.516157067,1.5484712,0.688209422,1.5484712,0,0,205,0.285714286,0.380952381,0.333333333,0,0,0.115294095,0.05124182,122,23.39530985
34,Er1Co2,2,0.745355992,0.693361274,0.670782206,0.667408235,0.666731742,40.66666667,41,18.22222222,68,27,27,50.33333333,23,10.22222222,58,35,58,95.04179667,108.325805,48.14480222,167.259,58.933195,58.933195,1768.666667,2,0.888888889,1770,1768,1768,7,6,2.666666667,9,3,9,4.666666667,2,0.888888889,6,4,4,147,63,28,189,126,126,1.666666667,0.64,0.284444444,1.88,1.24,1.88,2,0,0,2,2,2,0,0,0,0,0,0,4.666666667,7,3.111111111,7,0,7,4,12,5.333333333,12,0,0,10.66666667,5,2.222222222,14,9,9,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1.333333333,3,0,3,0.666666667,2,0.888888889,2,0,0,2.666666667,1,0.444444444,3,2,3,17.025,20.34,9.04,30.585,10.245,10.245,0,0,0,0,0,0,1.032314133,1.5484712,0.688209422,1.5484712,0,1.5484712,227,0.1875,0,0.4375,0.375,0,0.097331588,0.043258484,32,41.91256962
36,Nd1Mo2Fe10,3,0.788226982,0.771531573,0.769281532,0.769232187,0.769230777,31.07692308,34,7.810650888,60,26,26,51.46153846,36,5.443786982,55,19,55,68.81630769,88.397,19.95585799,144.242,55.845,55.845,1938.153846,1602,294.7218935,2896,1294,1811,7.307692308,5,1.065088757,8,3,8,4.307692308,2,0.473372781,6,4,4,140.6923077,69,13.37278107,201,132,132,1.827692308,1.02,0.105798817,2.16,1.14,1.83,1.846153846,1,0.26035503,2,1,2,0,0,0,0,0,0,5.384615385,6,0.946745562,6,0,6,0.307692308,4,0.568047337,4,0,0,7.538461538,2,0.710059172,8,6,8,0.153846154,1,0.26035503,1,0,0,0,0,0,0,0,0,3.846153846,5,0.591715976,5,0,4,0.769230769,10,1.420118343,10,0,0,4.769230769,6,1.183431953,10,4,4,13.34538462,24.08,4.023668639,34.81,10.73,10.73,0,0,0,0,0,0,1.623586769,2.1106628,0.74934774,2.1106628,0,2.1106628,139,0.244897959,0,0.714285714,0.040816327,0,0.229025515,0.025057394,499,62.57564639
37,Ni0.5Pd0.5,2,0.707106781,0.629960525,0.574349177,0.552044757,0.535886731,37,18,9,46,28,37,61.5,1,0.5,62,61,61.5,82.5567,47.7266,23.8633,106.42,58.6934,82.5567,1778.025,100.05,50.025,1828.05,1728,1778.025,10,0,0,10,10,10,4.5,1,0.5,5,4,4.5,131.5,15,7.5,139,124,131.5,2.055,0.29,0.145,2.2,1.91,2.055,1,2,1,2,0,1,0,0,0,0,0,0,9,2,1,10,8,9,0,0,0,0,0,0,10,0,0,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,2,0,1,0,0,0,0,0,0,1,2,1,2,0,1,12.365,4.09,2.045,14.41,10.32,12.365,0,0,0,0,0,0,0.29769735,0.5953947,0.29769735,0.5953947,0,0.29769735,225,0.1,0,0.9,0,0,0.020805516,0.010402758,363,0.30584767
44,Dy1Co2,2,0.745355992,0.693361274,0.670782206,0.667408235,0.666731742,40,39,17.33333333,66,27,27,49,27,12,58,31,58,93.45546333,103.566805,46.02969111,162.5,58.933195,58.933195,1740.333333,83,36.88888889,1768,1685,1768,7,6,2.666666667,9,3,9,4.666666667,2,0.888888889,6,4,4,148,66,29.33333333,192,126,126,1.66,0.66,0.293333333,1.88,1.22,1.88,2,0,0,2,2,2,0,0,0,0,0,0,4.666666667,7,3.111111111,7,0,7,3.333333333,10,4.444444444,10,0,0,10,3,1.333333333,12,9,9,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1.333333333,3,0,3,1.333333333,4,1.777777778,4,0,0,3.333333333,1,0.444444444,4,3,3,17.24333333,20.995,9.331111111,31.24,10.245,10.245,0,0,0,0,0,0,1.032314133,1.5484712,0.688209422,1.5484712,0,1.5484712,227,0.2,0,0.466666667,0.333333333,0,0.103179905,0.045857736,150,41.606011
45,Er2Fe14B1,3,0.833967463,0.824428789,0.823539518,0.823529556,0.823529412,29.70588235,63,9.010380623,68,5,26,53.64705882,37,4.387543253,72,35,55,66.30347059,156.448,23.75424221,167.259,10.811,55.845,1837.764706,578,60.02768166,2348,1770,1811,7.705882353,10,1.107266436,13,3,8,4.117647059,4,0.442906574,6,2,4,135.8823529,105,12.4982699,189,84,132,1.772941176,0.8,0.125397924,2.04,1.24,1.83,2,0,0,2,2,2,0.058823529,1,0.110726644,1,0,0,4.941176471,6,1.743944637,6,0,6,1.411764706,12,2.491349481,12,0,0,8.411764706,11,1.314878893,14,3,8,0,0,0,0,0,0,0.294117647,5,0.553633218,5,0,0,3.294117647,4,1.162629758,4,0,4,0.235294118,2,0.415224913,2,0,0,3.823529412,3,0.429065744,5,2,4,12.85661765,23.4125,4.171384083,30.585,7.1725,10.73,0.089647059,1.524,0.168747405,1.524,0,0,1.738192894,2.1106628,0.613479845,2.1106628,0,2.1106628,136,0.237762238,0.006993007,0.587412587,0.167832168,0,0.147856211,0.019258807,554,70.35268375
46,Ho1Co2,2,0.745355992,0.693361274,0.670782206,0.667408235,0.666731742,40.33333333,40,17.77777778,67,27,27,49.66666667,25,11.11111111,58,33,58,94.26557,105.997125,47.10983333,164.93032,58.933195,58.933195,1761,21,9.333333333,1768,1747,1768,7,6,2.666666667,9,3,9,4.666666667,2,0.888888889,6,4,4,148,66,29.33333333,192,126,126,1.663333333,0.65,0.288888889,1.88,1.23,1.88,2,0,0,2,2,2,0,0,0,0,0,0,4.666666667,7,3.111111111,7,0,7,3.666666667,11,4.888888889,11,0,0,10.33333333,4,1.777777778,13,9,9,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1.333333333,3,0,3,1,3,1.333333333,3,0,0,3,0,0,3,3,3,17.07444444,20.48833333,9.105925926,30.73333333,10.245,10.245,0,0,0,0,0,0,1.032314133,1.5484712,0.688209422,1.5484712,0,1.5484712,227,0.193548387,0,0.451612903,0.35483871,0,0.100238004,0.044550224,78,41.88475357
51,Cr1Te1,2,0.707106781,0.629960525,0.574349177,0.552044757,0.535886731,38,28,14,52,24,38,69.5,41,20.5,90,49,69.5,89.79805,75.6039,37.80195,127.6,51.9961,89.79805,1451.33,1457.34,728.67,2180,722.66,1451.33,11,10,5,16,6,11,4.5,1,0.5,5,4,4.5,138.5,1,0.5,139,138,138.5,1.88,0.44,0.22,2.1,1.66,1.88,1.5,1,0.5,2,1,1.5,2,4,2,4,0,2,7.5,5,2.5,10,5,7.5,0,0,0,0,0,0,11,10,5,16,6,11,0.5,1,0.5,1,0,0.5,1,2,1,2,0,1,2.5,5,2.5,5,0,2.5,0,0,0,0,0,0,4,4,2,6,2,4,22.97666667,23.57333333,11.78666667,34.76333333,11.19,22.97666667,0.232,0.464,0.232,0.464,0,0.232,0,0,0,0,0,0,194,0.136363636,0.181818182,0.681818182,0,1,0.04724739,0.023623695,350,77.62021869
54,Sm1Ti1Fe11,3,0.853118193,0.846577453,0.846155948,0.846153859,0.846153846,28.46153846,40,5.159763314,62,22,26,51.61538462,32,5.727810651,55,23,55,62.50169231,102.493,13.51666272,150.36,47.867,55.845,1785.153846,596,67.71597633,1941,1345,1811,7.307692308,5,1.171597633,8,3,8,4.153846154,2,0.284023669,6,4,4,139.2307692,66,12.23668639,198,132,132,1.756923077,0.66,0.123668639,1.83,1.17,1.83,2,0,0,2,2,2,0,0,0,0,0,0,5.230769231,6,1.301775148,6,0,6,0.461538462,6,0.852071006,6,0,0,7.692307692,4,0.568047337,8,4,8,0,0,0,0,0,0,0,0,0,0,0,0,4,8,0.615384615,8,0,4,0.615384615,8,1.136094675,8,0,0,4.615384615,4,1.041420118,8,4,4,12.91923077,22.5,3.704852071,33.23,10.73,10.73,0,0,0,0,0,0,1.785947179,2.1106628,0.549518742,2.1106628,0,2.1106628,139,0.26,0,0.68,0.06,0,0.103179905,0.016538291,600,91.01286505
57,Ce1Fe2,2,0.745355992,0.693361274,0.670782206,0.667408235,0.666731742,36.66666667,32,14.22222222,58,26,26,41.66666667,40,17.77777778,55,15,55,83.93533333,84.271,37.45377778,140.116,55.845,55.845,1564.333333,740,328.8888889,1811,1071,1811,6.333333333,5,2.222222222,8,3,8,4.666666667,2,0.888888889,6,4,4,156,72,32,204,132,132,1.593333333,0.71,0.315555556,1.83,1.12,1.83,2,0,0,2,2,2,0,0,0,0,0,0,4.333333333,5,2.222222222,6,1,6,0.333333333,1,0.444444444,1,0,0,6.666666667,4,1.777777778,8,4,8,0,0,0,0,0,0,0,0,0,0,0,0,5.666666667,5,2.222222222,9,4,4,4.333333333,13,5.777777778,13,0,0,10,18,8,22,4,4,19.56666667,26.51,11.78222222,37.24,10.73,10.73,0,0,0,0,0,0,1.407108533,2.1106628,0.938072356,2.1106628,0,2.1106628,227,0.3,0,0.65,0.05,0,0.118407193,0.052625419,230,74.18748173
59,Mn1Ni2Sn1,3,0.612372436,0.538608673,0.506099365,0.501108669,0.500097571,32.75,25,8.625,50,25,28,63.5,28,8.25,80,52,61,72.75871125,63.771955,22.97564437,118.71,54.938045,58.6934,1370.02,1222.92,432.47,1728,505.08,1728,10.25,7,1.875,14,7,10,4.25,1,0.375,5,4,4,131.5,15,7.5,139,124,124,1.8325,0.41,0.14125,1.96,1.55,1.91,2,0,0,2,2,2,0.5,2,0.75,2,0,0,7.75,5,1.375,10,5,8,0,0,0,0,0,0,10.25,7,1.875,14,7,10,0,0,0,0,0,0,1,4,1.5,4,0,0,2.25,5,1.375,5,0,2,0,0,0,0,0,0,3.25,3,1.25,5,2,2,16.10314655,22.965,8.590926724,33.285,10.32,10.32,0,0,0,0,0,0,0.29777488,0.5953947,0.29761982,0.5953947,0,0.5953947,225,0.195121951,0.048780488,0.756097561,0,0,0.041154191,0.013270661,340,71.56555756
60,Y2Fe17,2,0.900907514,0.895222222,0.894740875,0.894736882,0.894736842,27.36842105,13,2.448753463,39,26,26,50.47368421,43,8.099722992,55,12,55,59.32508947,33.06085,6.227528532,88.90585,55.845,55.845,1809.736842,12,2.260387812,1811,1799,1811,7.473684211,5,0.941828255,8,3,8,4.105263158,1,0.188365651,5,4,4,138.1052632,58,10.92520776,190,132,132,1.765789474,0.61,0.114903047,1.83,1.22,1.83,2,0,0,2,2,2,0,0,0,0,0,0,5.473684211,5,0.941828255,6,1,6,0,0,0,0,0,0,7.473684211,5,0.941828255,8,3,8,0,0,0,0,0,0,0,0,0,0,0,0,4.526315789,5,0.941828255,9,4,4,0,0,0,0,0,0,4.526315789,5,0.941828255,9,4,4,13.00736842,21.635,4.075290859,32.365,10.73,10.73,0,0,0,0,0,0,1.888487768,2.1106628,0.397576372,2.1106628,0,2.1106628,194,0.267605634,0,0.732394366,0,0,0.088829279,0.016732385,310,90.25900941
63,Fe0.5Pt0.5,2,0.707106781,0.629960525,0.574349177,0.552044757,0.535886731,52,52,26,78,26,52,59,8,4,63,55,59,125.4645,139.239,69.6195,195.084,55.845,125.4645,1926.2,230.4,115.2,2041.4,1811,1926.2,9,2,1,10,8,9,5,2,1,6,4,5,134,4,2,136,132,134,2.055,0.45,0.225,2.28,1.83,2.055,1.5,1,0.5,2,1,1.5,0,0,0,0,0,0,7.5,3,1.5,9,6,7.5,7,14,7,14,0,7,16,16,8,24,8,16,0.5,1,0.5,1,0,0.5,0,0,0,0,0,0,2.5,3,1.5,4,1,2.5,0,0,0,0,0,0,3,2,1,4,2,3,12.875,4.29,2.145,15.02,10.73,12.875,0,0,0,0,0,0,1.0553314,2.1106628,1.0553314,2.1106628,0,1.0553314,225,0.09375,0,0.46875,0.4375,0,0.049364908,0.024682454,575,-0.158945719
64,Gd1Ti1Fe11,3,0.853118193,0.846577453,0.846155948,0.846153859,0.846153846,28.61538462,42,5.443786982,64,22,26,51.92307692,28,5.207100592,55,27,55,63.03169231,109.383,14.49512426,157.25,47.867,55.845,1803.692308,355,33.49112426,1941,1586,1811,7.307692308,5,1.171597633,8,3,8,4.153846154,2,0.284023669,6,4,4,139.0769231,64,11.97633136,196,132,132,1.759230769,0.63,0.119763314,1.83,1.2,1.83,2,0,0,2,2,2,0,0,0,0,0,0,5.307692308,5,1.171597633,6,1,6,0.538461538,7,0.99408284,7,0,0,7.846153846,6,0.591715976,10,4,8,0,0,0,0,0,0,0,0,0,0,0,0,4.692307692,5,1.171597633,9,4,4,0.538461538,7,0.99408284,7,0,0,5.230769231,12,2.082840237,16,4,4,12.82846154,21.32,3.551242604,32.05,10.73,10.73,0,0,0,0,0,0,1.785947179,2.1106628,0.549518742,2.1106628,0,2.1106628,139,0.254901961,0,0.676470588,0.068627451,0,0.094461061,0.015342234,608,90.18429038
